"Gender","Age.Group","Fit.Bound","Effect","Excess Mortality"
"Total","85-89","lwr","Net Effects",8375
"Total","90+","lwr","Net Effects",6128
"Total","<1","upr","Direct Effects",2
"Total","1-4","upr","Direct Effects",1
"Total","5-9","upr","Direct Effects",1
"Total","10-14","upr","Direct Effects",5
"Total","15-19","upr","Direct Effects",11
"Total","20-24","upr","Direct Effects",34
"Total","25-29","upr","Direct Effects",70
"Total","30-34","upr","Direct Effects",117
"Total","35-39","upr","Direct Effects",195
"Total","40-44","upr","Direct Effects",369
"Total","45-49","upr","Direct Effects",694
"Total","50-54","upr","Direct Effects",1284
"Total","55-59","upr","Direct Effects",2186
"Total","60-64","upr","Direct Effects",3241
"Total","65-69","upr","Direct Effects",4596
"Total","70-74","upr","Direct Effects",7633
"Total","75-79","upr","Direct Effects",11066
"Total","80-84","upr","Direct Effects",15374
"Total","85-89","upr","Direct Effects",16547
"Total","90+","upr","Direct Effects",17404
"Total","<1","upr","Indirect Effects",332
"Total","1-4","upr","Indirect Effects",50
"Total","5-9","upr","Indirect Effects",73
"Total","10-14","upr","Indirect Effects",26
"Total","15-19","upr","Indirect Effects",236
"Total","20-24","upr","Indirect Effects",201
"Total","25-29","upr","Indirect Effects",171
"Total","30-34","upr","Indirect Effects",414
"Total","35-39","upr","Indirect Effects",622
"Total","40-44","upr","Indirect Effects",1104
"Total","45-49","upr","Indirect Effects",949
"Total","50-54","upr","Indirect Effects",1313
"Total","55-59","upr","Indirect Effects",1779
"Total","60-64","upr","Indirect Effects",1976
"Total","65-69","upr","Indirect Effects",5912
"Total","70-74","upr","Indirect Effects",2500
"Total","75-79","upr","Indirect Effects",6979
"Total","80-84","upr","Indirect Effects",6860
"Total","85-89","upr","Indirect Effects",12600
"Total","90+","upr","Indirect Effects",18310
"Total","<1","upr","Net Effects",334
"Total","1-4","upr","Net Effects",51
"Total","5-9","upr","Net Effects",74
"Total","10-14","upr","Net Effects",31
"Total","15-19","upr","Net Effects",247
"Total","20-24","upr","Net Effects",235
"Total","25-29","upr","Net Effects",241
"Total","30-34","upr","Net Effects",531
"Total","35-39","upr","Net Effects",817
"Total","40-44","upr","Net Effects",1473
"Total","45-49","upr","Net Effects",1643
"Total","50-54","upr","Net Effects",2597
"Total","55-59","upr","Net Effects",3965
"Total","60-64","upr","Net Effects",5217
"Total","65-69","upr","Net Effects",10508
"Total","70-74","upr","Net Effects",10133
"Total","75-79","upr","Net Effects",18045
"Total","80-84","upr","Net Effects",22234
"Total","85-89","upr","Net Effects",29147
"Total","90+","upr","Net Effects",35714
